"","locationid","site","room","publicaccess","description","unitposition"
"1","833","West Building","M-029",1,"West Main Floor Gallery 29",""
"2","833","West Building","M-029",1,"West Main Floor Gallery 29","E"
"3","833","West Building","M-029",1,"West Main Floor Gallery 29","N"
"4","833","West Building","M-029",1,"West Main Floor Gallery 29","S"
"5","833","West Building","M-029",1,"West Main Floor Gallery 29","W"
"6","835","West Building","M-033",1,"West Main Floor Gallery 33",""
"7","835","West Building","M-033",1,"West Main Floor Gallery 33","E"
"8","835","West Building","M-033",1,"West Main Floor Gallery 33","N"
"9","835","West Building","M-033",1,"West Main Floor Gallery 33","S"
"10","835","West Building","M-033",1,"West Main Floor Gallery 33","W"
"11","835","West Building","M-034",1,"West Main Floor Gallery 34",""
"12","835","West Building","M-034",1,"West Main Floor Gallery 34","E"
"13","835","West Building","M-034",1,"West Main Floor Gallery 34","N"
"14","835","West Building","M-034",1,"West Main Floor Gallery 34","S"
"15","836","West Building","M-034",1,"West Main Floor Gallery 34","W"
"16","836","West Building","M-035",1,"West Main Floor Gallery 35",""
"17","836","West Building","M-035",1,"West Main Floor Gallery 35","E"
"18","836","West Building","M-035",1,"West Main Floor Gallery 35","N"
"19","836","West Building","M-035",1,"West Main Floor Gallery 35","S"
"20","836","West Building","M-035",1,"West Main Floor Gallery 35","W"
"21","836","West Building","M-035-A",1,"West Main Floor Gallery 35 A",""
"22","836","West Building","M-035-A",1,"West Main Floor Gallery 35 A","E"
"23","836","West Building","M-035-A",1,"West Main Floor Gallery 35 A","N"
"24","836","West Building","M-035-A",1,"West Main Floor Gallery 35 A","S"
"25","837","West Building","M-035-A",1,"West Main Floor Gallery 35 A","W"
"26","837","West Building","M-036",1,"West Main Floor Gallery 36",""
"27","837","West Building","M-036",1,"West Main Floor Gallery 36","E"
"28","837","West Building","M-036",1,"West Main Floor Gallery 36","N"
"29","837","West Building","M-036",1,"West Main Floor Gallery 36","S"
"30","837","West Building","M-036",1,"West Main Floor Gallery 36","W"
"31","837","West Building","M-037",1,"West Main Floor Gallery 37",""
"32","837","West Building","M-037",1,"West Main Floor Gallery 37","E"
"33","837","West Building","M-037",1,"West Main Floor Gallery 37","N"
"34","837","West Building","M-037",1,"West Main Floor Gallery 37","S"
"35","838","West Building","M-037",1,"West Main Floor Gallery 37","W"
"36","838","West Building","M-038",1,"West Main Floor Gallery 38",""
"37","838","West Building","M-038",1,"West Main Floor Gallery 38","E"
"38","838","West Building","M-038",1,"West Main Floor Gallery 38","N"
"39","838","West Building","M-038",1,"West Main Floor Gallery 38","S"
"40","838","West Building","M-038",1,"West Main Floor Gallery 38","W"
"41","838","West Building","M-039",1,"West Main Floor Gallery 39",""
"42","838","West Building","M-039",1,"West Main Floor Gallery 39","E"
"43","838","West Building","M-039",1,"West Main Floor Gallery 39","N"
"44","838","West Building","M-039",1,"West Main Floor Gallery 39","S"
"45","839","West Building","M-039",1,"West Main Floor Gallery 39","W"
"46","839","West Building","M-040",1,"West Main Floor Gallery 40",""
"47","839","West Building","M-040",1,"West Main Floor Gallery 40","E"
"48","839","West Building","M-040",1,"West Main Floor Gallery 40","N"
"49","839","West Building","M-040",1,"West Main Floor Gallery 40","S"
"50","839","West Building","M-040",1,"West Main Floor Gallery 40","W"
"51","839","West Building","M-041",1,"West Main Floor Gallery 41",""
"52","839","West Building","M-041",1,"West Main Floor Gallery 41","E"
"53","839","West Building","M-041",1,"West Main Floor Gallery 41","N"
"54","839","West Building","M-041",1,"West Main Floor Gallery 41","S"
"55","840","West Building","M-041",1,"West Main Floor Gallery 41","W"
"56","840","West Building","M-041-A",1,"West Main Floor Gallery 41 A",""
"57","840","West Building","M-041-A",1,"West Main Floor Gallery 41 A","E"
"58","840","West Building","M-041-A",1,"West Main Floor Gallery 41 A","N"
"59","840","West Building","M-041-A",1,"West Main Floor Gallery 41 A","S"
"60","840","West Building","M-041-A",1,"West Main Floor Gallery 41 A","W"
"61","840","West Building","M-042",1,"West Main Floor Gallery 42",""
"62","840","West Building","M-042",1,"West Main Floor Gallery 42","E"
"63","840","West Building","M-042",1,"West Main Floor Gallery 42","N"
"64","840","West Building","M-042",1,"West Main Floor Gallery 42","S"
"65","841","West Building","M-042",1,"West Main Floor Gallery 42","W"
"66","841","West Building","M-043",1,"West Main Floor Gallery 43",""
"67","841","West Building","M-043",1,"West Main Floor Gallery 43","E"
"68","841","West Building","M-043",1,"West Main Floor Gallery 43","N"
"69","841","West Building","M-043",1,"West Main Floor Gallery 43","S"
"70","841","West Building","M-043",1,"West Main Floor Gallery 43","W"
"71","841","West Building","M-044",1,"West Main Floor Gallery 44",""
"72","841","West Building","M-044",1,"West Main Floor Gallery 44","E"
"73","841","West Building","M-044",1,"West Main Floor Gallery 44","S"
"74","841","West Building","M-044",1,"West Main Floor Gallery 44","W"
"75","842","West Building","M-045",1,"West Main Floor Gallery 45",""
"76","842","West Building","M-045",1,"West Main Floor Gallery 45","E"
"77","842","West Building","M-045",1,"West Main Floor Gallery 45","N"
"78","842","West Building","M-045",1,"West Main Floor Gallery 45","S"
"79","842","West Building","M-045",1,"West Main Floor Gallery 45","W"
"80","842","West Building","M-046",1,"West Main Floor Gallery 46",""
"81","842","West Building","M-046",1,"West Main Floor Gallery 46","E"
"82","842","West Building","M-046",1,"West Main Floor Gallery 46","N"
"83","842","West Building","M-046",1,"West Main Floor Gallery 46","S"
"84","842","West Building","M-046",1,"West Main Floor Gallery 46","W"
"85","843","West Building","M-047",1,"West Main Floor Gallery 47",""
"86","843","West Building","M-047",1,"West Main Floor Gallery 47","E"
"87","843","West Building","M-047",1,"West Main Floor Gallery 47","N"
"88","843","West Building","M-047",1,"West Main Floor Gallery 47","S"
"89","843","West Building","M-047",1,"West Main Floor Gallery 47","W"
"90","843","West Building","M-048",1,"West Main Floor Gallery 48",""
"91","843","West Building","M-048",1,"West Main Floor Gallery 48","E"
"92","843","West Building","M-048",1,"West Main Floor Gallery 48","N"
"93","843","West Building","M-048",1,"West Main Floor Gallery 48","S"
"94","843","West Building","M-048",1,"West Main Floor Gallery 48","W"
"95","844","West Building","M-049",1,"West Main Floor Gallery 49",""
"96","844","West Building","M-049",1,"West Main Floor Gallery 49","E"
"97","844","West Building","M-049",1,"West Main Floor Gallery 49","N"
"98","844","West Building","M-049",1,"West Main Floor Gallery 49","S"
"99","844","West Building","M-049",1,"West Main Floor Gallery 49","W"
"100","844","West Building","M-050",1,"West Main Floor Gallery 50",""
"101","844","West Building","M-050",1,"West Main Floor Gallery 50","E"
"102","844","West Building","M-050",1,"West Main Floor Gallery 50","N"
"103","844","West Building","M-050",1,"West Main Floor Gallery 50","S"
"104","844","West Building","M-050",1,"West Main Floor Gallery 50","W"
"105","845","West Building","M-050-A",1,"West Main Floor Gallery 50 A",""
"106","845","West Building","M-050-A",1,"West Main Floor Gallery 50 A","E"
"107","845","West Building","M-050-A",1,"West Main Floor Gallery 50 A","N"
"108","845","West Building","M-050-A",1,"West Main Floor Gallery 50 A","S"
"109","845","West Building","M-050-A",1,"West Main Floor Gallery 50 A","W"
"110","845","West Building","M-050-B",1,"West Main Floor Gallery 50 B",""
"111","845","West Building","M-050-B",1,"West Main Floor Gallery 50 B","E"
"112","845","West Building","M-050-B",1,"West Main Floor Gallery 50 B","N"
"113","845","West Building","M-050-B",1,"West Main Floor Gallery 50 B","S"
"114","845","West Building","M-050-B",1,"West Main Floor Gallery 50 B","W"
"115","846","West Building","M-050-C",1,"West Main Floor Gallery 50 C",""
"116","846","West Building","M-050-C",1,"West Main Floor Gallery 50 C","E"
"117","846","West Building","M-050-C",1,"West Main Floor Gallery 50 C","N"
"118","846","West Building","M-050-C",1,"West Main Floor Gallery 50 C","S"
"119","846","West Building","M-050-C",1,"West Main Floor Gallery 50 C","W"
"120","846","West Building","M-051",1,"West Main Floor Gallery 51",""
"121","846","West Building","M-051",1,"West Main Floor Gallery 51","E"
"122","846","West Building","M-051",1,"West Main Floor Gallery 51","N"
"123","846","West Building","M-051",1,"West Main Floor Gallery 51","S"
"124","846","West Building","M-051",1,"West Main Floor Gallery 51","W"
"125","847","West Building","M-052",1,"West Main Floor Gallery 52",""
"126","847","West Building","M-052",1,"West Main Floor Gallery 52","E"
"127","847","West Building","M-052",1,"West Main Floor Gallery 52","N"
"128","847","West Building","M-052",1,"West Main Floor Gallery 52","S"
