"","locationid","count_objects"
"1",3592,1
"2",3594,2
"3",3618,1
"4",3620,2
"5",3809,1
"6",3810,2
"7",3812,2
"8",3921,1
"9",3924,2
"10",3925,6
"11",3926,3
"12",3933,1
"13",3934,1
"14",3935,1
"15",3936,2
"16",3949,1
"17",3956,6
"18",3957,3
"19",3958,4
"20",3959,3
"21",3968,1
"22",4167,1
"23",4206,2
"24",4208,1
"25",4278,10
"26",4279,5
"27",4280,6
"28",4281,4
"29",4296,1
"30",4460,1
"31",4461,10
"32",4466,2
"33",4467,11
"34",4469,5
"35",4470,3
"36",4471,3
"37",4474,1
"38",4475,10
"39",4476,1
"40",4479,3
"41",4480,15
"42",4482,8
"43",4483,1
"44",4484,2
"45",4486,2
"46",4487,2
"47",4488,1
"48",4489,2
"49",4491,1
"50",4492,3
"51",4494,5
"52",4495,42
"53",4497,3
"54",4498,2
"55",4499,2
"56",4500,1
"57",4502,1
"58",4503,22
"59",4504,10
"60",4505,18
"61",4506,2
"62",4507,2
"63",4508,4
"64",4509,8
"65",4512,4
"66",4513,1
"67",4514,1
"68",4515,5
"69",4516,1
"70",4517,2
"71",4518,12
"72",4519,7
"73",4520,8
"74",4522,2
"75",4523,1
"76",4524,6
"77",4525,5
"78",4767,3
"79",4768,5
"80",4769,92
"81",4770,19
"82",4785,12
"83",4786,4
"84",4787,31
"85",4788,6
"86",5605,2
"87",5606,31
"88",5607,2
"89",5608,24
"90",5609,14
"91",5613,2
"92",5614,1
"93",5615,2
"94",5643,5
"95",5644,1
"96",5646,12
"97",5647,6
"98",5648,4
"99",5649,9
"100",6471,12
"101",6643,2
"102",6644,3
"103",6646,2
"104",6647,2
"105",6648,2
"106",6650,3
"107",6651,4
"108",6652,4
"109",6653,4
"110",6656,2
"111",6657,3
"112",6658,2
"113",6659,1
"114",6663,5
"115",6664,2
"116",6665,2
"117",6668,5
"118",6669,5
"119",6673,2
"120",6674,2
"121",6675,1
"122",6683,2
"123",6687,1
"124",6688,1
"125",7870,1
"126",7907,1
"127",7910,1
"128",7911,2
"129",7915,2
"130",8332,4
"131",8333,2
