,objectid,locationid,title,attribution,Total_Count,NA_Count,difference,site,room,publicaccess,description,unitposition,iiifthumburl
2,77,8427,Adriaen van Ostade,Frans Hals,8,3,5,West Building,M-046,1,West Main Floor Gallery 46,N,"https://api.nga.gov/iiif/2a84e43d-2935-48b3-a4e2-7a3e4fc53580/full/!200,200/0/default.jpg"
4,1002,4475,La France,Auguste Rodin,71,39,32,West Building,G-003,1,West Ground Floor Gallery 3,N,"https://api.nga.gov/iiif/75a875b8-4196-49e8-b12a-73fc0332d53b/full/!200,200/0/default.jpg"
6,1153,8434,Horsemen and Herdsmen with Cattle,Aelbert Cuyp,8,3,5,West Building,M-047,1,West Main Floor Gallery 47,W,"https://api.nga.gov/iiif/194c86fb-0bcc-47eb-b848-f4bf2f24c30e/full/!200,200/0/default.jpg"
7,1167,8428,Portrait of a Man,Frans Hals,8,3,5,West Building,M-046,1,West Main Floor Gallery 46,S,"https://api.nga.gov/iiif/cab68476-336a-4223-90fe-eb33ba2e5293/full/!200,200/0/default.jpg"
8,1199,8468,The Circumcision,Rembrandt van Rijn,362,353,9,West Building,M-051,1,West Main Floor Gallery 51,S,"https://api.nga.gov/iiif/c41105bb-50e6-47b1-b610-9250eabfeacf/full/!200,200/0/default.jpg"
11,1227,8413,The Virgin as Intercessor,Sir Anthony van Dyck,55,42,13,West Building,M-043,1,West Main Floor Gallery 43,N,"https://api.nga.gov/iiif/fe8a2703-99bd-4da9-9d8e-5ae7bad003cf/full/!200,200/0/default.jpg"
12,1230,8408,A Genoese Noblewoman and Her Son,Sir Anthony van Dyck,55,42,13,West Building,M-042,1,West Main Floor Gallery 42,N,"https://api.nga.gov/iiif/483d4eb2-e0cf-4a48-85d9-dc460ba41494/full/!200,200/0/default.jpg"
26,46469,8473,Young Lady Wearing a Mantilla and Basquina,Francisco Goya,289,282,7,West Building,M-052,1,West Main Floor Gallery 52,S,"https://api.nga.gov/iiif/d0840afa-9aaf-49c0-8e2f-b3dff652bf2d/full/!200,200/0/default.jpg"
27,46489,4495,Wandering Saltimbanques,Honoré Daumier,2338,2297,41,West Building,G-008,1,West Ground Floor Gallery 8,W,"https://api.nga.gov/iiif/2fc52267-c172-46c0-9498-e88e695bb354/full/!200,200/0/default.jpg"
34,46596,8686,Madame Camus,Edgar Degas,163,91,72,West Building,M-086,1,West Main Floor Gallery 86,S,"https://api.nga.gov/iiif/aca3980f-d5bc-44cb-940d-791f9e8efc88/full/!200,200/0/default.jpg"
35,46626,8671,La Mousmé,Vincent van Gogh,21,15,6,West Building,M-083,1,West Main Floor Gallery 83,S,"https://api.nga.gov/iiif/a2e6da57-3cd1-4235-b20e-95dcaefed6c8/full/!200,200/0/default.jpg"
39,46653,8654,Woman Seated under the Willows,Claude Monet,29,10,19,West Building,M-080,1,West Main Floor Gallery 80,E,"https://api.nga.gov/iiif/9572178c-0a80-4e74-88bd-4bf3547e8eeb/full/!200,200/0/default.jpg"
40,46656,8656,Jerusalem Artichoke Flowers,Claude Monet,29,10,19,West Building,M-080,1,West Main Floor Gallery 80,S,"https://api.nga.gov/iiif/5bfb4c45-feb8-4dbb-8b77-519c0560dcaf/full/!200,200/0/default.jpg"
41,46658,8656,"Waterloo Bridge, Gray Day",Claude Monet,29,10,19,West Building,M-080,1,West Main Floor Gallery 80,S,"https://api.nga.gov/iiif/5f0f2f71-1428-4fc7-a951-0fab4fe39ffd/full/!200,200/0/default.jpg"
43,50291,8539,Eleazer Tyng,John Singleton Copley,23,12,11,West Building,M-060-B,1,West Main Floor Gallery 60 B,S,"https://api.nga.gov/iiif/e3a5ab58-0e84-46aa-9bce-b7e6f8f45ed5/full/!200,200/0/default.jpg"
45,52159,8665,Women on the Beach at Berck,Eugène Boudin,61,55,6,West Building,M-082,1,West Main Floor Gallery 82,N,"https://api.nga.gov/iiif/02c8ff0d-dc16-4120-b611-90a2ed8de407/full/!200,200/0/default.jpg"
46,52165,8677,Banks of the Seine at Médan,Paul Cézanne,122,108,14,West Building,M-084,1,West Main Floor Gallery 84,W,"https://api.nga.gov/iiif/e9d26ac4-eca2-4102-8728-51d4b131aebe/full/!200,200/0/default.jpg"
54,52225,8697,"Study for ""La Grande Jatte""",Georges Seurat,17,2,15,West Building,M-088,1,West Main Floor Gallery 88,W,"https://api.nga.gov/iiif/a65a3648-e5a9-48a5-82c6-e002562a2baa/full/!200,200/0/default.jpg"
58,53124,8476,Still Life with a White Mug,Jean Siméon Chardin,8,0,8,West Building,M-053,1,West Main Floor Gallery 53,E,"https://api.nga.gov/iiif/5983913c-1ece-4631-9b32-f7b450695dc1/full/!200,200/0/default.jpg"
68,61367,8666,Child in a Straw Hat,Mary Cassatt,123,113,10,West Building,M-082,1,West Main Floor Gallery 82,S,"https://api.nga.gov/iiif/c9eb98d9-759a-4fb2-9da8-35e91cc0bf12/full/!200,200/0/default.jpg"
